[2026-04-20T04:12:13Z] [INFO] [SYSTEM] [EVT_1776658333_018c46b9] GET /api/v1/stats 200 0s 623B | IP: ::1
[2026-04-20T04:12:13Z] [INFO] [SYSTEM] [EVT_1776658333_ac1196c7] GET /api/v1/queue/stats 200 0s 150B | IP: ::1
[2026-04-20T04:12:16Z] [INFO] [SYSTEM] [EVT_1776658336_95f0bf87] GET /api/v1/agents 200 698.1µs 49B | IP: ::1
[2026-04-20T04:13:13Z] [INFO] [SYSTEM] [EVT_1776658393_bf51e1de] GET /api/v1/stats 200 505.9µs 623B | IP: ::1
[2026-04-20T04:13:13Z] [INFO] [SYSTEM] [EVT_1776658393_b6d06ae6] GET /api/v1/queue/stats 200 0s 150B | IP: ::1
[2026-04-20T04:13:13Z] [INFO] [SYSTEM] [EVT_1776658393_67d7d688] GET /api/v1/agents 200 0s 49B | IP: ::1
[2026-04-20T04:14:13Z] [INFO] [SYSTEM] [EVT_1776658453_e7c46665] GET /api/v1/stats 200 839.5µs 623B | IP: ::1
[2026-04-20T04:14:13Z] [INFO] [SYSTEM] [EVT_1776658453_0bcd0afe] GET /api/v1/queue/stats 200 0s 150B | IP: ::1
[2026-04-20T04:14:13Z] [INFO] [SYSTEM] [EVT_1776658453_05e3e6f3] GET /api/v1/agents 200 0s 49B | IP: ::1
[2026-04-20T04:15:13Z] [INFO] [SYSTEM] [EVT_1776658513_b40d2a0b] GET /api/v1/stats 200 0s 623B | IP: ::1
[2026-04-20T04:15:13Z] [INFO] [SYSTEM] [EVT_1776658513_fb852dab] GET /api/v1/queue/stats 200 0s 150B | IP: ::1
[2026-04-20T04:15:13Z] [INFO] [SYSTEM] [EVT_1776658513_3677c834] GET /api/v1/agents 200 1.7186ms 49B | IP: ::1
[2026-04-20T04:16:13Z] [INFO] [SYSTEM] [EVT_1776658573_0a46755f] GET /api/v1/stats 200 0s 623B | IP: ::1
[2026-04-20T04:16:13Z] [INFO] [SYSTEM] [EVT_1776658573_37170806] GET /api/v1/queue/stats 200 0s 150B | IP: ::1
[2026-04-20T04:16:13Z] [INFO] [SYSTEM] [EVT_1776658573_17afb3cd] GET /api/v1/agents 200 0s 49B | IP: ::1
[2026-04-20T04:17:13Z] [INFO] [SYSTEM] [EVT_1776658633_f6f3b9d9] GET /api/v1/stats 200 0s 623B | IP: ::1
[2026-04-20T04:17:13Z] [INFO] [SYSTEM] [EVT_1776658633_64aeb02e] GET /api/v1/queue/stats 200 819.8µs 150B | IP: ::1
[2026-04-20T04:17:13Z] [INFO] [SYSTEM] [EVT_1776658633_480b91a6] GET /api/v1/agents 200 0s 49B | IP: ::1
[2026-04-20T04:18:13Z] [INFO] [SYSTEM] [EVT_1776658693_473e2ca2] GET /api/v1/stats 200 514.8µs 623B | IP: ::1
[2026-04-20T04:18:13Z] [INFO] [SYSTEM] [EVT_1776658693_ee57462a] GET /api/v1/queue/stats 200 0s 150B | IP: ::1
[2026-04-20T04:18:13Z] [INFO] [SYSTEM] [EVT_1776658693_d8a85b2f] GET /api/v1/agents 200 0s 49B | IP: ::1
[2026-04-20T04:19:13Z] [INFO] [SYSTEM] [EVT_1776658753_9db79d04] GET /api/v1/stats 200 0s 622B | IP: ::1
[2026-04-20T04:19:13Z] [INFO] [SYSTEM] [EVT_1776658753_fd811928] GET /api/v1/queue/stats 200 0s 150B | IP: ::1
[2026-04-20T04:19:13Z] [INFO] [SYSTEM] [EVT_1776658753_d620954d] GET /api/v1/agents 200 0s 49B | IP: ::1
[2026-04-20T04:20:13Z] [INFO] [SYSTEM] [EVT_1776658813_18ec4340] GET /api/v1/stats 200 0s 623B | IP: ::1
[2026-04-20T04:20:13Z] [INFO] [SYSTEM] [EVT_1776658813_fab065ad] GET /api/v1/queue/stats 200 0s 150B | IP: ::1
[2026-04-20T04:20:13Z] [INFO] [SYSTEM] [EVT_1776658813_8cb266c4] GET /api/v1/agents 200 0s 49B | IP: ::1
